Номенклатура,Тип,Базовая ед.,Закупочная ед.,Размер упаковки,Цена упаковки,Коэф. рецепт→база,Комментарий
Игристое,Сырьё,мл,бутылка,700,,1,
Аперитивы,Сырьё,мл,бутылка,700,,1,
Содовая,Сырьё,мл,л/бутылка,1000,,1,
Сироп мохито,Сырьё,мл,л/бутылка,1000,,1,
Ром,Сырьё,мл,бутылка,700,,1,
Сок лимона,Сырьё,мл,л/бутылка,1000,,1,
Мята,Сырьё,шт/веточка,упаковка,,,1,нужно задать пересчёт в г или шт/упаковку
Джин,Сырьё,мл,бутылка,700,,1,
Клубничный сироп,Заготовка,мл,,,,1,
Пюре маракуйи,Заготовка,мл,,,,1,
Красный базилик,Сырьё,шт/веточка,упаковка,,,1,нужно задать пересчёт в г или шт/упаковку
Арбузный лимонад,Сырьё,мл,л/бутылка,1000,,1,
Шисо кордиал,Заготовка,мл,,,,1,
Грушевая водка,Сырьё,мл,бутылка,700,,1,
Сухой вермут,Сырьё,мл,бутылка,700,,1,
Укроп,Сырьё,шт/веточка,упаковка,,,1,нужно задать пересчёт в г или шт/упаковку
Сахарный сироп,Сырьё,мл,л/бутылка,1000,,1,
Базилик,Сырьё,шт/веточка,упаковка,,,1,нужно задать пересчёт в г или шт/упаковку
Пюре из персиков,Заготовка,мл,,,,1,
Трипл сек,Сырьё,мл,бутылка,700,,1,
Мармелад,Заготовка,,,,,1,
Пребэч,Заготовка,,,,,1,
Клюквенный морс,Сырьё,мл,л/бутылка,1000,,1,
Джин эстрагоновый,Сырьё,мл,бутылка,700,,1,
Бабл гам,Заготовка,,,,,1,
Сладкий вермут,Сырьё,мл,бутылка,700,,1,
Маринованный виноград,Сырьё,,,,,1,
Амаретто,Сырьё,мл,бутылка,700,,1,
Щавелевый кордиал,Заготовка,мл,,,,1,
Водка,Сырьё,мл,бутылка,700,,1,
Ванильная водка,Сырьё,мл,бутылка,700,,1,
Клубничный джин,Сырьё,мл,бутылка,700,,1,
Сок лайма,Сырьё,мл,л/бутылка,1000,,1,
Медовый сироп,Сырьё,мл,л/бутылка,1000,,1,
Каркаде,Сырьё,г,упаковка/кг,1000,,1,
Вода,Сырьё,мл,л/бутылка,1000,,1,
Клубника,Сырьё,г,упаковка/кг,1000,,1,
Сахар,Сырьё,г,упаковка/кг,1000,,1,
Киви,Сырьё,г,упаковка/кг,1000,,1,
Улун,Сырьё,г,упаковка/кг,1000,,1,
Малина,Сырьё,г,упаковка/кг,1000,,1,
Корица,Сырьё,г,упаковка/кг,1000,,1,
Раствор яблочной к-ты,Сырьё,мл,л/бутылка,1000,,1,
Молочный улун,Сырьё,г,упаковка/кг,1000,,1,
Дынный аром-р,Сырьё,мл,бутылка,700,,1,
Соль,Сырьё,г,упаковка/кг,1000,,1,
Аскорбиновая к-та,Сырьё,г,упаковка/кг,1000,,1,
Мёд,Сырьё,г,упаковка/кг,1000,,1,
Маракуйя,Сырьё,г,упаковка/кг,1000,,1,
Шисо листья,Сырьё,,,,,1,
Красные апельсины,Сырьё,г,упаковка/кг,1000,,1,
Лемонграсс,Сырьё,г,упаковка/кг,1000,,1,
Севен Ап,Сырьё,мл,л/бутылка,1000,,1,
Лимонная к-та,Сырьё,г,упаковка/кг,1000,,1,
Пилы лайма,Сырьё,шт,шт,1,,1,
Пилы апельсина,Сырьё,шт,шт,1,,1,
Пилы грейпфрута,Сырьё,шт,шт,1,,1,
Клюквенный ликёр,Сырьё,мл,бутылка,700,,1,
Щавель,Сырьё,г,упаковка/кг,1000,,1,
Молочная к-та,Сырьё,г,упаковка/кг,1000,,1,
Яблочная к-та,Сырьё,г,упаковка/кг,1000,,1,
Ваниль,Сырьё,г,упаковка/кг,1000,,1,
Гвоздика,Сырьё,г,упаковка/кг,1000,,1,
Розовый перец,Сырьё,г,упаковка/кг,1000,,1,
Кизиловый концентрат,Сырьё,г,упаковка/кг,1000,,1,
Банановое олео,Сырьё,мл,л/бутылка,1000,,1,
Нектарины,Сырьё,г,упаковка/кг,1000,,1,
Раствор молочной к-ты,Сырьё,мл,л/бутылка,1000,,1,
Апельсиновая вода,Сырьё,мл,л/бутылка,1000,,1,
Черёмуховая вода,Сырьё,мл,л/бутылка,1000,,1,
Ром/водка,Сырьё,мл,бутылка,700,,1,
Содовая 1,Заготовка,мл,,,,1,рецепт-заготовка
