Позиция,Тип,Включить,Ручное кол-во,Авто кол-во,Итого к выпуску,Комментарий
Сприцы,Коктейль,Да,,0,0,
Мохито,Коктейль,Да,,0,0,
Клубничная ночь,Коктейль,Да,,0,0,
Арбуз и маракуйя,Коктейль,Да,,0,0,
Арбуз и укроп,Коктейль,Да,,0,0,
Бэзил смэш,Коктейль,Да,,0,0,
Беллини,Коктейль,Да,,0,0,
Брекфаст мартини,Коктейль,Да,,0,0,
COSMOPOLITAN,Коктейль,Да,,0,0,
Баблгам 4,Коктейль,Да,,0,0,
Баблгам 5,Коктейль,Да,,0,0,
Баблгам 1,Коктейль,Да,,0,0,
Шот 1,Шот,Да,,0,0,
Форест гамп,Шот,Да,,0,0,
Шот 3,Шот,Да,,0,0,
Шот 4,Шот,Да,,0,0,
ШОТ 5,Шот,Да,,0,0,
Настойка клубника каркаде,Настойка,Да,,0,0,
Настойка киви-мята,Настойка,Да,,0,0,
Настойка улун-малина,Настойка,Да,,0,0,
Настойка клубника корица,Настойка,Да,,0,0,
